movie_ame 	year	duration	imdb	votes
8119_Miles	2021	115	6.6	21
99_Songs	2019	128	7.4	1901
Aamaar_Bhuvan	2018	107	7.7	72
Aani_Maani	2019	94	6.6	15
Aasma	2018	105	5.2	8
Action	2019	158	4.5	858
Adrishya	2017	106	3.3	102
Ahaan	2019	81	7.2	213
Airlift	2016	130	8	53897
Aiyaary	2018	157	5.3	4167
Ajeeb_Daastaans	2021	142	6.7	4133
Ajji	2017	104	6.9	973
Chanakya	2019	147	5.5	521
Chauhar	2017	123	6.8	15
Chausar	2018	85	6.4	82
Chef	2017	133	5.7	2229
Chhalaang	2020	136	6.8	15830
Chhapaak	2020	120	5.1	25070
Chhichhore	2019	143	8.4	38581
Dangal	2016	161	8.4	165074
Dank	2019	108	5.7	19
Dansh	2018	85	8.3	9
Love_Shagun	2016	120	4.4	104
Love_Sonia	2018	122	7.4	1570
Love_Sorries	2021	101	9.3	79
Love_Trainning	2018	129	5.8	12
Rustom	2016	148	7.1	24285
Saala_Khadoos	2016	109	7.6	11638
Sarabha	2018	137	6.8	65
Sarbjit	2016	131	7.3	4497
Shehri_Gabru	2020	62	8.5	92
Sheitaan	2017	110	4	20
Shikara	2020	118	3.8	6399
Sonchiriya	2019	143	8.1	9572
Soni	2018	97	7.2	2528
Soorarai_Pottru	2020	153	9.1	83029
Soorma	2018	131	7.4	4648
Stree	2018	128	7.6	29900
Tum_Bin_2	2016	147	4.8	1187
Tumbbad	2018	104	8.3	32920
Tumhari_Sulu	2017	150	7	4761
